--- Semantic Distance Report (Dataset 1) ---
Average Distance:  0.136476
Closest Distance:  0.069029 (image_03981.jpg)
Farthest Distance: 0.456085 (image_07131.jpg)
--------------------------------------------

Individual Distances:
image_07326.jpg: 0.097381
image_04741.jpg: 0.097384
image_02279.jpg: 0.097387
image_00143.jpg: 0.097389
image_05186.jpg: 0.097393
image_01354.jpg: 0.097398
image_05083.jpg: 0.097410
image_03569.jpg: 0.097416
image_00812.jpg: 0.097417
image_07622.jpg: 0.097425
image_02491.jpg: 0.097433
image_00378.jpg: 0.097442
image_01237.jpg: 0.097472
image_00695.jpg: 0.097489
image_04420.jpg: 0.097518
image_00688.jpg: 0.097523
image_00196.jpg: 0.097533
image_02492.jpg: 0.097541
image_01746.jpg: 0.097551
image_04490.jpg: 0.097567
image_00901.jpg: 0.097575
image_06372.jpg: 0.097590
image_00816.jpg: 0.097620
image_05177.jpg: 0.097634
image_05858.jpg: 0.097649
image_05464.jpg: 0.097658
image_01925.jpg: 0.097684
image_01903.jpg: 0.097691
image_07630.jpg: 0.097708
image_06026.jpg: 0.097710
image_00792.jpg: 0.097718
image_01800.jpg: 0.097740
image_07613.jpg: 0.097764
image_02895.jpg: 0.097765
image_00392.jpg: 0.097767
image_06936.jpg: 0.097776
image_07754.jpg: 0.097785
image_03226.jpg: 0.097819
image_01994.jpg: 0.097826
image_00737.jpg: 0.097844
image_01318.jpg: 0.097844
image_05555.jpg: 0.097864
image_00155.jpg: 0.097878
image_00822.jpg: 0.097879
image_03241.jpg: 0.097894
image_02527.jpg: 0.097899
image_02899.jpg: 0.097902
image_03213.jpg: 0.097916
image_03944.jpg: 0.097938
image_00869.jpg: 0.097956
image_01956.jpg: 0.097982
image_03920.jpg: 0.097988
image_01753.jpg: 0.097993
image_03197.jpg: 0.097998
image_02204.jpg: 0.098051
image_01734.jpg: 0.098062
image_00873.jpg: 0.098072
image_04319.jpg: 0.098084
image_01937.jpg: 0.098097
image_00336.jpg: 0.098099
image_00889.jpg: 0.098099
image_04180.jpg: 0.098123
image_03574.jpg: 0.098123
image_08099.jpg: 0.098128
image_00861.jpg: 0.098134
image_02224.jpg: 0.098145
image_06962.jpg: 0.098148
image_04161.jpg: 0.098160
image_01873.jpg: 0.098165
image_03229.jpg: 0.098166
image_00851.jpg: 0.098220
image_04451.jpg: 0.098244
image_01916.jpg: 0.098248
image_04777.jpg: 0.098249
image_01650.jpg: 0.098266
image_00311.jpg: 0.098275
image_01675.jpg: 0.098279
image_05036.jpg: 0.098315
image_07491.jpg: 0.098320
image_00964.jpg: 0.098331
image_02220.jpg: 0.098341
image_07668.jpg: 0.098357
image_01774.jpg: 0.098364
image_02763.jpg: 0.098371
image_05547.jpg: 0.098374
image_01597.jpg: 0.098407
image_05704.jpg: 0.098410
image_03194.jpg: 0.098420
image_07989.jpg: 0.098421
image_00167.jpg: 0.098421
image_01197.jpg: 0.098426
image_04502.jpg: 0.098431
image_04253.jpg: 0.098441
image_00780.jpg: 0.098441
image_01591.jpg: 0.098451
image_00048.jpg: 0.098485
image_00265.jpg: 0.098486
image_05880.jpg: 0.098493
image_04713.jpg: 0.098493
image_02876.jpg: 0.098551
image_06951.jpg: 0.098574
image_00441.jpg: 0.098585
image_01729.jpg: 0.098588
image_07492.jpg: 0.098620
image_05864.jpg: 0.098625
image_07603.jpg: 0.098628
image_04303.jpg: 0.098638
image_01060.jpg: 0.098651
image_02679.jpg: 0.098672
image_03610.jpg: 0.098675
image_05570.jpg: 0.098680
image_02275.jpg: 0.098691
image_05575.jpg: 0.098695
image_02666.jpg: 0.098712
image_00387.jpg: 0.098718
image_02832.jpg: 0.098731
image_07933.jpg: 0.098737
image_00987.jpg: 0.098748
image_01850.jpg: 0.098753
image_05569.jpg: 0.098767
image_07652.jpg: 0.098775
image_00410.jpg: 0.098780
image_00373.jpg: 0.098854
image_03250.jpg: 0.098859
image_02862.jpg: 0.098868
image_01646.jpg: 0.098891
image_01853.jpg: 0.098898
image_00357.jpg: 0.098905
image_04163.jpg: 0.098907
image_05149.jpg: 0.098914
image_04761.jpg: 0.098953
image_00863.jpg: 0.098957
image_01961.jpg: 0.098974
image_03691.jpg: 0.098974
image_03708.jpg: 0.098983
image_03200.jpg: 0.099002
image_00818.jpg: 0.099004
image_04797.jpg: 0.099060
image_00272.jpg: 0.099065
image_01621.jpg: 0.099067
image_00412.jpg: 0.099086
image_02807.jpg: 0.099096
image_03655.jpg: 0.099102
image_01324.jpg: 0.099121
image_00787.jpg: 0.099134
image_02310.jpg: 0.099154
image_04518.jpg: 0.099168
image_05039.jpg: 0.099178
image_01786.jpg: 0.099179
image_02762.jpg: 0.099192
image_04552.jpg: 0.099226
image_04318.jpg: 0.099231
image_00360.jpg: 0.099231
image_02423.jpg: 0.099247
image_01678.jpg: 0.099249
image_05192.jpg: 0.099254
image_00099.jpg: 0.099254
image_05210.jpg: 0.099259
image_02262.jpg: 0.099261
image_04181.jpg: 0.099273
image_00925.jpg: 0.099276
image_07586.jpg: 0.099277
image_07494.jpg: 0.099289
image_01174.jpg: 0.099299
image_00304.jpg: 0.099315
image_02392.jpg: 0.099332
image_03279.jpg: 0.099367
image_03198.jpg: 0.099381
image_04860.jpg: 0.099381
image_00566.jpg: 0.099405
image_00808.jpg: 0.099408
image_01721.jpg: 0.099414
image_00389.jpg: 0.099418
image_00858.jpg: 0.099450
image_02261.jpg: 0.099482
image_03219.jpg: 0.099491
image_05045.jpg: 0.099497
image_03212.jpg: 0.099500
image_00576.jpg: 0.099515
image_00896.jpg: 0.099516
image_03900.jpg: 0.099524
image_03199.jpg: 0.099541
image_01594.jpg: 0.099543
image_02531.jpg: 0.099556
image_02479.jpg: 0.099570
image_03195.jpg: 0.099586
image_07825.jpg: 0.099601
image_04542.jpg: 0.099627
image_06367.jpg: 0.099633
image_03186.jpg: 0.099652
image_02844.jpg: 0.099666
image_05063.jpg: 0.099675
image_01104.jpg: 0.099697
image_05489.jpg: 0.099708
image_05523.jpg: 0.099709
image_02858.jpg: 0.099718
