Loading data...
Epoch 057 | train_loss: 0.9094 | train_l1: 0.7205 | train_cos: 0.7454 | train_success: 0.5604 | val_mse: 1.3538 | val_l1: 0.8941 | val_cos: 0.6793 | val_success: 0.0333
Epoch 058 | train_loss: 0.9059 | train_l1: 0.7188 | train_cos: 0.7463 | train_success: 0.5700 | val_mse: 1.3549 | val_l1: 0.8945 | val_cos: 0.6791 | val_success: 0.0323
Epoch 059 | train_loss: 0.9049 | train_l1: 0.7184 | train_cos: 0.7465 | train_success: 0.5710 | val_mse: 1.3526 | val_l1: 0.8937 | val_cos: 0.6794 | val_success: 0.0348
Epoch 060 | train_loss: 0.9027 | train_l1: 0.7172 | train_cos: 0.7472 | train_success: 0.5784 | val_mse: 1.3507 | val_l1: 0.8931 | val_cos: 0.6797 | val_success: 0.0377
Epoch 061 | train_loss: 0.9032 | train_l1: 0.7177 | train_cos: 0.7461 | train_success: 0.5733 | val_mse: 1.3506 | val_l1: 0.8931 | val_cos: 0.6797 | val_success: 0.0382
Epoch 062 | train_loss: 0.9021 | train_l1: 0.7174 | train_cos: 0.7473 | train_success: 0.5755 | val_mse: 1.3508 | val_l1: 0.8931 | val_cos: 0.6797 | val_success: 0.0411
Epoch 063 | train_loss: 0.9051 | train_l1: 0.7189 | train_cos: 0.7463 | train_success: 0.5662 | val_mse: 1.3490 | val_l1: 0.8923 | val_cos: 0.6801 | val_success: 0.0455
Epoch 064 | train_loss: 0.9015 | train_l1: 0.7175 | train_cos: 0.7474 | train_success: 0.5801 | val_mse: 1.3512 | val_l1: 0.8930 | val_cos: 0.6798 | val_success: 0.0421
Epoch 065 | train_loss: 0.9019 | train_l1: 0.7171 | train_cos: 0.7474 | train_success: 0.5764 | val_mse: 1.3502 | val_l1: 0.8927 | val_cos: 0.6799 | val_success: 0.0440
Epoch 066 | train_loss: 0.9047 | train_l1: 0.7189 | train_cos: 0.7458 | train_success: 0.5665 | val_mse: 1.3488 | val_l1: 0.8921 | val_cos: 0.6802 | val_success: 0.0499
Epoch 067 | train_loss: 0.8991 | train_l1: 0.7164 | train_cos: 0.7465 | train_success: 0.5770 | val_mse: 1.3477 | val_l1: 0.8917 | val_cos: 0.6804 | val_success: 0.0485
Epoch 068 | train_loss: 0.9017 | train_l1: 0.7171 | train_cos: 0.7466 | train_success: 0.5768 | val_mse: 1.3481 | val_l1: 0.8918 | val_cos: 0.6804 | val_success: 0.0544
Epoch 069 | train_loss: 0.8968 | train_l1: 0.7154 | train_cos: 0.7473 | train_success: 0.5796 | val_mse: 1.3452 | val_l1: 0.8909 | val_cos: 0.6808 | val_success: 0.0559
Epoch 070 | train_loss: 0.8924 | train_l1: 0.7141 | train_cos: 0.7484 | train_success: 0.5817 | val_mse: 1.3445 | val_l1: 0.8906 | val_cos: 0.6809 | val_success: 0.0583
Epoch 071 | train_loss: 0.8924 | train_l1: 0.7140 | train_cos: 0.7484 | train_success: 0.5854 | val_mse: 1.3460 | val_l1: 0.8910 | val_cos: 0.6808 | val_success: 0.0613
Epoch 072 | train_loss: 0.8963 | train_l1: 0.7150 | train_cos: 0.7475 | train_success: 0.5809 | val_mse: 1.3440 | val_l1: 0.8904 | val_cos: 0.6810 | val_success: 0.0627
Epoch 073 | train_loss: 0.8880 | train_l1: 0.7126 | train_cos: 0.7491 | train_success: 0.5924 | val_mse: 1.3435 | val_l1: 0.8900 | val_cos: 0.6812 | val_success: 0.0622
Epoch 074 | train_loss: 0.8843 | train_l1: 0.7110 | train_cos: 0.7506 | train_success: 0.5949 | val_mse: 1.3393 | val_l1: 0.8888 | val_cos: 0.6816 | val_success: 0.0647
Epoch 075 | train_loss: 0.8861 | train_l1: 0.7115 | train_cos: 0.7498 | train_success: 0.5953 | val_mse: 1.3384 | val_l1: 0.8884 | val_cos: 0.6819 | val_success: 0.0716
Epoch 076 | train_loss: 0.8880 | train_l1: 0.7118 | train_cos: 0.7500 | train_success: 0.5973 | val_mse: 1.3412 | val_l1: 0.8891 | val_cos: 0.6817 | val_success: 0.0715
Epoch 077 | train_loss: 0.8895 | train_l1: 0.7122 | train_cos: 0.7488 | train_success: 0.5916 | val_mse: 1.3419 | val_l1: 0.8894 | val_cos: 0.6816 | val_success: 0.0735
Epoch 078 | train_loss: 0.8868 | train_l1: 0.7114 | train_cos: 0.7494 | train_success: 0.5978 | val_mse: 1.3411 | val_l1: 0.8893 | val_cos: 0.6816 | val_success: 0.0725
Epoch 079 | train_loss: 0.8888 | train_l1: 0.7127 | train_cos: 0.7488 | train_success: 0.5923 | val_mse: 1.3412 | val_l1: 0.8891 | val_cos: 0.6817 | val_success: 0.0794
Epoch 080 | train_loss: 0.8907 | train_l1: 0.7129 | train_cos: 0.7498 | train_success: 0.5889 | val_mse: 1.3395 | val_l1: 0.8886 | val_cos: 0.6819 | val_success: 0.0779
Epoch 081 | train_loss: 0.8794 | train_l1: 0.7090 | train_cos: 0.7494 | train_success: 0.5995 | val_mse: 1.3384 | val_l1: 0.8881 | val_cos: 0.6822 | val_success: 0.0833
Epoch 082 | train_loss: 0.8874 | train_l1: 0.7117 | train_cos: 0.7493 | train_success: 0.5941 | val_mse: 1.3360 | val_l1: 0.8874 | val_cos: 0.6825 | val_success: 0.0863
Epoch 083 | train_loss: 0.8898 | train_l1: 0.7128 | train_cos: 0.7482 | train_success: 0.5854 | val_mse: 1.3368 | val_l1: 0.8875 | val_cos: 0.6824 | val_success: 0.0892
Epoch 084 | train_loss: 0.8830 | train_l1: 0.7100 | train_cos: 0.7501 | train_success: 0.6033 | val_mse: 1.3358 | val_l1: 0.8870 | val_cos: 0.6826 | val_success: 0.0912
Epoch 085 | train_loss: 0.8829 | train_l1: 0.7100 | train_cos: 0.7496 | train_success: 0.6001 | val_mse: 1.3345 | val_l1: 0.8866 | val_cos: 0.6828 | val_success: 0.0936
Epoch 086 | train_loss: 0.8847 | train_l1: 0.7111 | train_cos: 0.7495 | train_success: 0.5925 | val_mse: 1.3350 | val_l1: 0.8867 | val_cos: 0.6829 | val_success: 0.0990
Epoch 087 | train_loss: 0.8802 | train_l1: 0.7090 | train_cos: 0.7508 | train_success: 0.5989 | val_mse: 1.3353 | val_l1: 0.8868 | val_cos: 0.6828 | val_success: 0.0995
Epoch 088 | train_loss: 0.8740 | train_l1: 0.7069 | train_cos: 0.7511 | train_success: 0.6053 | val_mse: 1.3380 | val_l1: 0.8875 | val_cos: 0.6826 | val_success: 0.0986
Epoch 089 | train_loss: 0.8779 | train_l1: 0.7081 | train_cos: 0.7498 | train_success: 0.6028 | val_mse: 1.3379 | val_l1: 0.8875 | val_cos: 0.6826 | val_success: 0.0936
Epoch 090 | train_loss: 0.8785 | train_l1: 0.7084 | train_cos: 0.7499 | train_success: 0.6109 | val_mse: 1.3365 | val_l1: 0.8871 | val_cos: 0.6828 | val_success: 0.0966
Epoch 091 | train_loss: 0.8746 | train_l1: 0.7070 | train_cos: 0.7511 | train_success: 0.6059 | val_mse: 1.3344 | val_l1: 0.8865 | val_cos: 0.6830 | val_success: 0.0951
Epoch 092 | train_loss: 0.8824 | train_l1: 0.7101 | train_cos: 0.7491 | train_success: 0.5976 | val_mse: 1.3327 | val_l1: 0.8859 | val_cos: 0.6832 | val_success: 0.1064
Epoch 093 | train_loss: 0.8745 | train_l1: 0.7074 | train_cos: 0.7510 | train_success: 0.6072 | val_mse: 1.3307 | val_l1: 0.8853 | val_cos: 0.6835 | val_success: 0.1044
Epoch 094 | train_loss: 0.8745 | train_l1: 0.7069 | train_cos: 0.7515 | train_success: 0.6062 | val_mse: 1.3299 | val_l1: 0.8849 | val_cos: 0.6836 | val_success: 0.1020
Epoch 095 | train_loss: 0.8780 | train_l1: 0.7083 | train_cos: 0.7506 | train_success: 0.6067 | val_mse: 1.3320 | val_l1: 0.8856 | val_cos: 0.6834 | val_success: 0.0996
Epoch 096 | train_loss: 0.8684 | train_l1: 0.7042 | train_cos: 0.7538 | train_success: 0.6201 | val_mse: 1.3334 | val_l1: 0.8858 | val_cos: 0.6833 | val_success: 0.1035
Epoch 097 | train_loss: 0.8709 | train_l1: 0.7060 | train_cos: 0.7514 | train_success: 0.6097 | val_mse: 1.3331 | val_l1: 0.8859 | val_cos: 0.6832 | val_success: 0.1025
Epoch 098 | train_loss: 0.8804 | train_l1: 0.7089 | train_cos: 0.7502 | train_success: 0.6041 | val_mse: 1.3319 | val_l1: 0.8856 | val_cos: 0.6834 | val_success: 0.1006
Epoch 099 | train_loss: 0.8753 | train_l1: 0.7070 | train_cos: 0.7517 | train_success: 0.6064 | val_mse: 1.3358 | val_l1: 0.8866 | val_cos: 0.6830 | val_success: 0.1074
Epoch 100 | train_loss: 0.8734 | train_l1: 0.7067 | train_cos: 0.7518 | train_success: 0.6066 | val_mse: 1.3365 | val_l1: 0.8866 | val_cos: 0.6830 | val_success: 0.1084
Epoch 101 | train_loss: 0.8724 | train_l1: 0.7059 | train_cos: 0.7518 | train_success: 0.6077 | val_mse: 1.3374 | val_l1: 0.8869 | val_cos: 0.6829 | val_success: 0.1065
