Epoch 111 | Train Loss: 0.8435 | Val Cheap Loss: 1.0436 | Val Last-T Loss: 1.0173
Epoch 112 | Train Loss: 0.8433 | Val Cheap Loss: 1.0460 | Val Last-T Loss: 1.0170
Epoch 113 | Train Loss: 0.8422 | Val Cheap Loss: 1.0444 | Val Last-T Loss: 1.0189
Epoch 114 | Train Loss: 0.8415 | Val Cheap Loss: 1.0454 | Val Last-T Loss: 1.0198
Epoch 115 | Train Loss: 0.8401 | Val Cheap Loss: 1.0448 | Val Last-T Loss: 1.0171
Epoch 116 | Train Loss: 0.8391 | Val Cheap Loss: 1.0460 | Val Last-T Loss: 1.0175
Epoch 117 | Train Loss: 0.8379 | Val Cheap Loss: 1.0510 | Val Last-T Loss: 1.0196
Epoch 118 | Train Loss: 0.8379 | Val Cheap Loss: 1.0434 | Val Last-T Loss: 1.0181
Epoch 119 | Train Loss: 0.8375 | Val Cheap Loss: 1.0496 | Val Last-T Loss: 1.0205
Epoch 120 | Train Loss: 0.8358 | Val Cheap Loss: 1.0491 | Val Last-T Loss: 1.0189
Epoch 121 | Train Loss: 0.8360 | Val Cheap Loss: 1.0507 | Val Last-T Loss: 1.0190
Epoch 122 | Train Loss: 0.8344 | Val Cheap Loss: 1.0433 | Val Last-T Loss: 1.0154
Epoch 123 | Train Loss: 0.8334 | Val Cheap Loss: 1.0517 | Val Last-T Loss: 1.0165
Epoch 124 | Train Loss: 0.8329 | Val Cheap Loss: 1.0483 | Val Last-T Loss: 1.0172
Epoch 125 | Train Loss: 0.8318 | Val Cheap Loss: 1.0453 | Val Last-T Loss: 1.0168 | Val TACOs L1: 1.0455
Epoch 126 | Train Loss: 0.8305 | Val Cheap Loss: 1.0494 | Val Last-T Loss: 1.0147
Epoch 127 | Train Loss: 0.8297 | Val Cheap Loss: 1.0513 | Val Last-T Loss: 1.0154
Epoch 128 | Train Loss: 0.8289 | Val Cheap Loss: 1.0484 | Val Last-T Loss: 1.0148
Epoch 129 | Train Loss: 0.8285 | Val Cheap Loss: 1.0506 | Val Last-T Loss: 1.0181
Epoch 130 | Train Loss: 0.8275 | Val Cheap Loss: 1.0535 | Val Last-T Loss: 1.0189
Epoch 131 | Train Loss: 0.8271 | Val Cheap Loss: 1.0479 | Val Last-T Loss: 1.0177
Epoch 132 | Train Loss: 0.8264 | Val Cheap Loss: 1.0538 | Val Last-T Loss: 1.0183
