Loading datasets into memory...
Epoch 91 | Train Loss: 0.0639 | Val Loss: 0.0853 | A->B: 0.0075 | B->A: 0.1632 
Epoch 92 | Train Loss: 0.0638 | Val Loss: 0.0837 | A->B: 0.0100 | B->A: 0.1574 
Epoch 93 | Train Loss: 0.0655 | Val Loss: 0.0850 | A->B: 0.0084 | B->A: 0.1616 
Epoch 94 | Train Loss: 0.0648 | Val Loss: 0.0879 | A->B: 0.0070 | B->A: 0.1688 
Epoch 95 | Train Loss: 0.0678 | Val Loss: 0.0828 | A->B: 0.0078 | B->A: 0.1579 
Epoch 96 | Train Loss: 0.0671 | Val Loss: 0.0840 | A->B: 0.0105 | B->A: 0.1574 
Epoch 97 | Train Loss: 0.0632 | Val Loss: 0.0875 | A->B: 0.0107 | B->A: 0.1642 
Epoch 98 | Train Loss: 0.0649 | Val Loss: 0.0832 | A->B: 0.0102 | B->A: 0.1562 
Epoch 99 | Train Loss: 0.0656 | Val Loss: 0.0822 | A->B: 0.0111 | B->A: 0.1534 
Epoch 100 | Train Loss: 0.0626 | Val Loss: 0.0803 | A->B: 0.0069 | B->A: 0.1537 | Sample L1: 0.1264 | Sample A->B: 0.0085 | Sample B->A: 0.2444
Epoch 101 | Train Loss: 0.0602 | Val Loss: 0.0804 | A->B: 0.0084 | B->A: 0.1525 
Epoch 102 | Train Loss: 0.0615 | Val Loss: 0.0832 | A->B: 0.0078 | B->A: 0.1585 
Epoch 103 | Train Loss: 0.0606 | Val Loss: 0.0814 | A->B: 0.0066 | B->A: 0.1562 
Epoch 104 | Train Loss: 0.0603 | Val Loss: 0.0827 | A->B: 0.0109 | B->A: 0.1546 
Epoch 105 | Train Loss: 0.0622 | Val Loss: 0.0827 | A->B: 0.0085 | B->A: 0.1569 
Epoch 106 | Train Loss: 0.0596 | Val Loss: 0.0846 | A->B: 0.0130 | B->A: 0.1563 
Epoch 107 | Train Loss: 0.0607 | Val Loss: 0.0801 | A->B: 0.0081 | B->A: 0.1521 
Epoch 108 | Train Loss: 0.0589 | Val Loss: 0.0813 | A->B: 0.0072 | B->A: 0.1554 
Epoch 109 | Train Loss: 0.0584 | Val Loss: 0.0803 | A->B: 0.0082 | B->A: 0.1524 
Epoch 110 | Train Loss: 0.0577 | Val Loss: 0.0818 | A->B: 0.0069 | B->A: 0.1567 
Epoch 111 | Train Loss: 0.0579 | Val Loss: 0.0827 | A->B: 0.0113 | B->A: 0.1541 
Epoch 112 | Train Loss: 0.0584 | Val Loss: 0.0777 | A->B: 0.0067 | B->A: 0.1487 
Epoch 113 | Train Loss: 0.0588 | Val Loss: 0.0791 | A->B: 0.0076 | B->A: 0.1505 
Epoch 114 | Train Loss: 0.0577 | Val Loss: 0.0788 | A->B: 0.0082 | B->A: 0.1494 
Epoch 115 | Train Loss: 0.0560 | Val Loss: 0.0803 | A->B: 0.0062 | B->A: 0.1544 
Epoch 116 | Train Loss: 0.0566 | Val Loss: 0.0803 | A->B: 0.0064 | B->A: 0.1543 
Epoch 117 | Train Loss: 0.0556 | Val Loss: 0.0774 | A->B: 0.0082 | B->A: 0.1466 
Epoch 118 | Train Loss: 0.0567 | Val Loss: 0.0800 | A->B: 0.0094 | B->A: 0.1507 
Epoch 119 | Train Loss: 0.0555 | Val Loss: 0.0782 | A->B: 0.0072 | B->A: 0.1492 
Epoch 120 | Train Loss: 0.0555 | Val Loss: 0.0802 | A->B: 0.0098 | B->A: 0.1506 
Epoch 121 | Train Loss: 0.0566 | Val Loss: 0.0790 | A->B: 0.0078 | B->A: 0.1502 
Epoch 122 | Train Loss: 0.0576 | Val Loss: 0.0813 | A->B: 0.0064 | B->A: 0.1562 
Epoch 123 | Train Loss: 0.0553 | Val Loss: 0.0768 | A->B: 0.0078 | B->A: 0.1457 
Epoch 124 | Train Loss: 0.0548 | Val Loss: 0.0768 | A->B: 0.0065 | B->A: 0.1471 
Epoch 125 | Train Loss: 0.0550 | Val Loss: 0.0775 | A->B: 0.0066 | B->A: 0.1484 | Sample L1: 0.1259 | Sample A->B: 0.0131 | Sample B->A: 0.2387
Epoch 126 | Train Loss: 0.0566 | Val Loss: 0.0815 | A->B: 0.0080 | B->A: 0.1551 
Epoch 127 | Train Loss: 0.0562 | Val Loss: 0.0786 | A->B: 0.0073 | B->A: 0.1499 
Epoch 128 | Train Loss: 0.0549 | Val Loss: 0.0797 | A->B: 0.0078 | B->A: 0.1515 
Epoch 129 | Train Loss: 0.0551 | Val Loss: 0.0777 | A->B: 0.0057 | B->A: 0.1496 
Epoch 130 | Train Loss: 0.0525 | Val Loss: 0.0771 | A->B: 0.0077 | B->A: 0.1465 
Epoch 131 | Train Loss: 0.0538 | Val Loss: 0.0780 | A->B: 0.0058 | B->A: 0.1501 
Epoch 132 | Train Loss: 0.0529 | Val Loss: 0.0761 | A->B: 0.0061 | B->A: 0.1461 
Epoch 133 | Train Loss: 0.0522 | Val Loss: 0.0783 | A->B: 0.0084 | B->A: 0.1482 
Epoch 134 | Train Loss: 0.0542 | Val Loss: 0.0776 | A->B: 0.0065 | B->A: 0.1487 
Epoch 135 | Train Loss: 0.0540 | Val Loss: 0.0763 | A->B: 0.0068 | B->A: 0.1458 
Epoch 136 | Train Loss: 0.0523 | Val Loss: 0.0780 | A->B: 0.0086 | B->A: 0.1473 
Epoch 137 | Train Loss: 0.0542 | Val Loss: 0.0788 | A->B: 0.0089 | B->A: 0.1487 
Epoch 138 | Train Loss: 0.0521 | Val Loss: 0.0762 | A->B: 0.0069 | B->A: 0.1454 
Epoch 139 | Train Loss: 0.0544 | Val Loss: 0.0777 | A->B: 0.0065 | B->A: 0.1490 
Epoch 140 | Train Loss: 0.0558 | Val Loss: 0.0782 | A->B: 0.0069 | B->A: 0.1495 
Epoch 141 | Train Loss: 0.0527 | Val Loss: 0.0765 | A->B: 0.0076 | B->A: 0.1454 
Epoch 142 | Train Loss: 0.0520 | Val Loss: 0.0735 | A->B: 0.0054 | B->A: 0.1416 
Epoch 143 | Train Loss: 0.0497 | Val Loss: 0.0776 | A->B: 0.0063 | B->A: 0.1489 
Epoch 144 | Train Loss: 0.0488 | Val Loss: 0.0746 | A->B: 0.0054 | B->A: 0.1439 
Epoch 145 | Train Loss: 0.0483 | Val Loss: 0.0741 | A->B: 0.0065 | B->A: 0.1417 
Epoch 146 | Train Loss: 0.0519 | Val Loss: 0.0744 | A->B: 0.0073 | B->A: 0.1415 
Epoch 147 | Train Loss: 0.0503 | Val Loss: 0.0750 | A->B: 0.0077 | B->A: 0.1424 
Epoch 148 | Train Loss: 0.0496 | Val Loss: 0.0755 | A->B: 0.0059 | B->A: 0.1450 
Epoch 149 | Train Loss: 0.0479 | Val Loss: 0.0756 | A->B: 0.0069 | B->A: 0.1444 
Epoch 150 | Train Loss: 0.0490 | Val Loss: 0.0748 | A->B: 0.0064 | B->A: 0.1433 | Sample L1: 0.1174 | Sample A->B: 0.0095 | Sample B->A: 0.2253

--- CONDITIONAL EVALUATION (ONE_SHOT) ---
Condition A -> Recover B L1 Distance : 0.265755
Condition A -> Recover B Cosine Sim  : 0.980422
Condition A -> Recover B %S1         : 100.00%
Condition B -> Recover A L1 Distance : 0.354473
Condition B -> Recover A Cosine Sim  : 0.904639
Condition B -> Recover A %S2         : 100.00%
Mean Conditional L1 Distance         : 0.310114
Mean Conditional Cosine Sim          : 0.942530
Combined Total %S                    : 100.00%


--- CONDITIONAL EVALUATION (ITERATIVE) ---
Condition A -> Recover B L1 Distance : 0.813462
Condition A -> Recover B Cosine Sim  : 0.190834
Condition A -> Recover B %S1         : 19.50%
Condition B -> Recover A L1 Distance : 0.402001
Condition B -> Recover A Cosine Sim  : 0.783743
Condition B -> Recover A %S2         : 82.40%
Mean Conditional L1 Distance         : 0.607731
Mean Conditional Cosine Sim          : 0.487288
Combined Total %S                    : 50.95%

