Loading data...
Epoch 037 | train_loss: 0.0988 | train_refine_l1: 0.0662 | train_initial_mse: 0.3259 | train_initial_l1: 0.4452 | val_loss: 0.4235 | val_refine_l1: 0.3510 | val_initial_mse: 0.7247 | val_initial_l1: 0.6672
Epoch 038 | train_loss: 0.0972 | train_refine_l1: 0.0649 | train_initial_mse: 0.3234 | train_initial_l1: 0.4436 | val_loss: 0.4215 | val_refine_l1: 0.3492 | val_initial_mse: 0.7227 | val_initial_l1: 0.6663
Epoch 039 | train_loss: 0.0975 | train_refine_l1: 0.0653 | train_initial_mse: 0.3221 | train_initial_l1: 0.4426 | val_loss: 0.4297 | val_refine_l1: 0.3569 | val_initial_mse: 0.7273 | val_initial_l1: 0.6684
Epoch 040 | train_loss: 0.0959 | train_refine_l1: 0.0639 | train_initial_mse: 0.3198 | train_initial_l1: 0.4411 | val_loss: 0.4319 | val_refine_l1: 0.3597 | val_initial_mse: 0.7223 | val_initial_l1: 0.6661 | val_sample_l1: 0.4993
Epoch 041 | train_loss: 0.0947 | train_refine_l1: 0.0629 | train_initial_mse: 0.3179 | train_initial_l1: 0.4398 | val_loss: 0.4213 | val_refine_l1: 0.3490 | val_initial_mse: 0.7228 | val_initial_l1: 0.6663
Epoch 042 | train_loss: 0.0950 | train_refine_l1: 0.0634 | train_initial_mse: 0.3163 | train_initial_l1: 0.4387 | val_loss: 0.4204 | val_refine_l1: 0.3480 | val_initial_mse: 0.7238 | val_initial_l1: 0.6666
Epoch 043 | train_loss: 0.0938 | train_refine_l1: 0.0623 | train_initial_mse: 0.3143 | train_initial_l1: 0.4373 | val_loss: 0.4216 | val_refine_l1: 0.3493 | val_initial_mse: 0.7237 | val_initial_l1: 0.6664
Epoch 044 | train_loss: 0.0933 | train_refine_l1: 0.0620 | train_initial_mse: 0.3129 | train_initial_l1: 0.4363 | val_loss: 0.4197 | val_refine_l1: 0.3477 | val_initial_mse: 0.7200 | val_initial_l1: 0.6650
Epoch 045 | train_loss: 0.0904 | train_refine_l1: 0.0593 | train_initial_mse: 0.3109 | train_initial_l1: 0.4349 | val_loss: 0.4200 | val_refine_l1: 0.3478 | val_initial_mse: 0.7214 | val_initial_l1: 0.6655
Epoch 046 | train_loss: 0.0906 | train_refine_l1: 0.0596 | train_initial_mse: 0.3093 | train_initial_l1: 0.4337 | val_loss: 0.4228 | val_refine_l1: 0.3506 | val_initial_mse: 0.7224 | val_initial_l1: 0.6660
