Loading data...
Epoch 143 | train_loss: 0.0413 | val_loss: 0.3109
Epoch 144 | train_loss: 0.0420 | val_loss: 0.3134
Epoch 145 | train_loss: 0.0415 | val_loss: 0.3127
Epoch 146 | train_loss: 0.0416 | val_loss: 0.3130
Epoch 147 | train_loss: 0.0420 | val_loss: 0.3144
Epoch 148 | train_loss: 0.0414 | val_loss: 0.3104
Epoch 149 | train_loss: 0.0414 | val_loss: 0.3124
Epoch 150 | train_loss: 0.0412 | val_loss: 0.3144 | val_sample_l1: 0.4619
Epoch 151 | train_loss: 0.0412 | val_loss: 0.3114
Epoch 152 | train_loss: 0.0413 | val_loss: 0.3136
Epoch 153 | train_loss: 0.0414 | val_loss: 0.3129
Epoch 154 | train_loss: 0.0407 | val_loss: 0.3117
Epoch 155 | train_loss: 0.0406 | val_loss: 0.3131
Epoch 156 | train_loss: 0.0407 | val_loss: 0.3109
Epoch 157 | train_loss: 0.0412 | val_loss: 0.3128
Epoch 158 | train_loss: 0.0412 | val_loss: 0.3142
Epoch 159 | train_loss: 0.0402 | val_loss: 0.3103
Epoch 160 | train_loss: 0.0407 | val_loss: 0.3119 | val_sample_l1: 0.4622
Epoch 161 | train_loss: 0.0407 | val_loss: 0.3103
Epoch 162 | train_loss: 0.0395 | val_loss: 0.3105
Epoch 163 | train_loss: 0.0400 | val_loss: 0.3135
Epoch 164 | train_loss: 0.0403 | val_loss: 0.3140
Epoch 165 | train_loss: 0.0401 | val_loss: 0.3109
Epoch 166 | train_loss: 0.0400 | val_loss: 0.3155
Epoch 167 | train_loss: 0.0394 | val_loss: 0.3127
Epoch 168 | train_loss: 0.0395 | val_loss: 0.3148
Epoch 169 | train_loss: 0.0397 | val_loss: 0.3142
Epoch 170 | train_loss: 0.0395 | val_loss: 0.3140 | val_sample_l1: 0.4619
Epoch 171 | train_loss: 0.0395 | val_loss: 0.3119
Epoch 172 | train_loss: 0.0392 | val_loss: 0.3154
Epoch 173 | train_loss: 0.0392 | val_loss: 0.3147
Epoch 174 | train_loss: 0.0389 | val_loss: 0.3109
Epoch 175 | train_loss: 0.0388 | val_loss: 0.3168
Epoch 176 | train_loss: 0.0394 | val_loss: 0.3135
Epoch 177 | train_loss: 0.0389 | val_loss: 0.3104
Epoch 178 | train_loss: 0.0387 | val_loss: 0.3142
Epoch 179 | train_loss: 0.0389 | val_loss: 0.3139
Epoch 180 | train_loss: 0.0389 | val_loss: 0.3137 | val_sample_l1: 0.4609
Epoch 181 | train_loss: 0.0386 | val_loss: 0.3137
Epoch 182 | train_loss: 0.0380 | val_loss: 0.3100
Epoch 183 | train_loss: 0.0376 | val_loss: 0.3124
Epoch 184 | train_loss: 0.0379 | val_loss: 0.3136
Epoch 185 | train_loss: 0.0382 | val_loss: 0.3139
Epoch 186 | train_loss: 0.0377 | val_loss: 0.3141
Epoch 187 | train_loss: 0.0387 | val_loss: 0.3085
Epoch 188 | train_loss: 0.0385 | val_loss: 0.3097
Epoch 189 | train_loss: 0.0385 | val_loss: 0.3142
Epoch 190 | train_loss: 0.0383 | val_loss: 0.3125 | val_sample_l1: 0.4603
Epoch 191 | train_loss: 0.0381 | val_loss: 0.3131
Epoch 192 | train_loss: 0.0376 | val_loss: 0.3101
Epoch 193 | train_loss: 0.0378 | val_loss: 0.3121
Epoch 194 | train_loss: 0.0377 | val_loss: 0.3140
Epoch 195 | train_loss: 0.0378 | val_loss: 0.3110
Epoch 196 | train_loss: 0.0372 | val_loss: 0.3123
Epoch 197 | train_loss: 0.0368 | val_loss: 0.3160
Epoch 198 | train_loss: 0.0368 | val_loss: 0.3136
Epoch 199 | train_loss: 0.0368 | val_loss: 0.3121
Epoch 200 | train_loss: 0.0373 | val_loss: 0.3132 | val_sample_l1: 0.4603

--- MATH BASELINE B-REFERENCE/A-TARGET CONDITIONAL EVALUATION (ONE_SHOT) ---
Direction                       : reference=B, target=A
Number of evaluated morphs      : 1019
Conditional L1 Distance         : 0.465049
Conditional Cosine Sim          : 0.817929
Conditional %S                  : 100.00%


--- MATH BASELINE B-REFERENCE/A-TARGET CONDITIONAL EVALUATION (ITERATIVE) ---
Direction                       : reference=B, target=A
Number of evaluated morphs      : 1019
Conditional L1 Distance         : 0.462705
Conditional Cosine Sim          : 0.819864
Conditional %S                  : 100.00%

