Loading datasets into memory...
Epoch 130 | Train Loss: 0.1162 | Val Loss: 0.1261 
Epoch 131 | Train Loss: 0.1126 | Val Loss: 0.1218 
Epoch 132 | Train Loss: 0.1108 | Val Loss: 0.1229 
Epoch 133 | Train Loss: 0.1105 | Val Loss: 0.1241 
Epoch 134 | Train Loss: 0.1154 | Val Loss: 0.1168 
Epoch 135 | Train Loss: 0.1105 | Val Loss: 0.1201 
Epoch 136 | Train Loss: 0.1089 | Val Loss: 0.1090 
Epoch 137 | Train Loss: 0.1073 | Val Loss: 0.1169 
Epoch 138 | Train Loss: 0.1062 | Val Loss: 0.1153 
Epoch 139 | Train Loss: 0.1041 | Val Loss: 0.1157 
Epoch 140 | Train Loss: 0.1056 | Val Loss: 0.1185 
Epoch 141 | Train Loss: 0.1067 | Val Loss: 0.1153 
Epoch 142 | Train Loss: 0.1058 | Val Loss: 0.1120 
Epoch 143 | Train Loss: 0.1072 | Val Loss: 0.1135 
Epoch 144 | Train Loss: 0.1057 | Val Loss: 0.1112 
Epoch 145 | Train Loss: 0.1040 | Val Loss: 0.1147 
Epoch 146 | Train Loss: 0.1060 | Val Loss: 0.1200 
Epoch 147 | Train Loss: 0.1091 | Val Loss: 0.1149 
Epoch 148 | Train Loss: 0.1051 | Val Loss: 0.1117 
Epoch 149 | Train Loss: 0.1033 | Val Loss: 0.1172 
Epoch 150 | Train Loss: 0.1027 | Val Loss: 0.1146 | Sample L1: 0.1756
